austenitizing_temp_C,section_thickness_mm,quench_medium,tempering_temp_C,tempering_time_hr,hardness_HRC,UTS_MPa,YS_MPa,elongation_pct,reduction_of_area_pct,source
845.0,25.0,oil,815.0,1.0,13.0,655.0,415.0,25.7,56.9,literature_anchor_annealed
845.0,25.0,oil,316.0,1.0,47.0,1551.0,1372.6,12.0,42.0,literature_anchor
845.0,25.0,oil,538.0,1.0,26.0,896.0,672.0,18.0,55.0,literature_anchor
851.7,50.0,oil,384.7,4.0,38.8,1212.1,1004.6,17.1,44.3,physics_model
834.4,100.0,air,401.7,4.0,37.4,1177.4,952.6,19.3,44.9,physics_model
871.9,100.0,oil,624.8,1.0,20.2,805.9,526.0,23.4,52.6,physics_model
871.3,50.0,water,252.0,1.0,51.3,1720.0,1501.2,11.7,31.3,physics_model
863.0,25.0,water,566.2,2.0,23.4,822.7,567.7,23.1,52.8,physics_model
844.9,100.0,oil,235.8,4.0,50.6,1736.1,1530.0,12.2,29.5,physics_model
869.6,25.0,water,217.3,0.5,53.3,1822.7,1602.7,10.8,27.1,physics_model
869.6,75.0,water,337.1,0.5,46.1,1481.5,1211.4,14.9,34.6,physics_model
870.8,13.0,oil,278.8,1.0,48.6,1636.8,1336.1,11.4,29.7,physics_model
845.8,150.0,oil,551.7,4.0,22.7,850.4,559.6,23.7,51.0,physics_model
833.8,50.0,oil,578.1,2.0,21.9,780.2,564.0,23.4,54.6,physics_model
835.6,75.0,oil,547.2,1.0,24.6,913.9,642.4,23.8,56.0,physics_model
866.7,25.0,oil,400.5,1.0,40.1,1254.3,959.5,16.8,42.6,physics_model
840.0,50.0,air,264.8,2.0,40.6,1314.1,1024.7,16.8,39.5,physics_model
846.6,100.0,oil,337.7,2.0,45.2,1409.9,1188.9,17.0,37.5,physics_model
853.9,150.0,oil,264.2,2.0,50.3,1614.2,1478.1,11.6,32.8,physics_model
854.0,75.0,air,277.3,0.5,40.6,1247.3,998.9,17.5,44.2,physics_model
840.1,150.0,oil,206.0,4.0,50.7,1803.6,1560.5,12.1,29.3,physics_model
868.5,25.0,water,608.1,0.5,21.7,850.0,539.6,22.9,55.7,physics_model
848.6,75.0,oil,277.8,0.5,48.9,1699.1,1345.2,12.1,29.7,physics_model
846.2,25.0,water,232.8,2.0,53.0,1707.3,1505.1,11.9,30.1,physics_model
851.7,25.0,oil,475.8,2.0,31.7,969.5,748.5,21.8,55.0,physics_model
836.2,150.0,oil,487.1,4.0,28.2,980.9,673.4,21.4,45.0,physics_model
861.5,75.0,oil,324.2,1.0,48.3,1558.3,1269.6,12.8,32.7,physics_model
841.0,25.0,water,637.4,0.5,20.0,773.5,536.9,27.2,52.1,physics_model
868.7,150.0,oil,457.7,0.5,35.2,1116.2,859.8,20.1,44.5,physics_model
849.6,100.0,oil,657.3,2.0,18.3,731.7,501.6,25.0,61.6,physics_model
868.2,50.0,oil,622.6,2.0,19.7,797.6,523.2,25.5,50.3,physics_model
853.5,100.0,oil,357.1,2.0,42.3,1264.1,1115.4,16.5,39.6,physics_model
844.7,50.0,oil,354.2,1.0,45.0,1397.7,1167.8,14.7,37.2,physics_model
859.9,150.0,oil,417.1,2.0,36.1,1191.8,947.8,18.8,44.5,physics_model
868.4,75.0,water,477.6,0.5,33.3,1065.5,777.4,20.0,50.8,physics_model
871.8,100.0,oil,532.6,2.0,25.5,888.5,651.6,24.1,46.2,physics_model
861.2,100.0,oil,312.6,2.0,47.3,1540.4,1209.5,15.5,35.7,physics_model
870.7,100.0,oil,536.6,4.0,24.1,860.1,581.3,23.4,52.5,physics_model
829.8,150.0,oil,250.3,2.0,52.1,1649.3,1486.5,12.4,30.5,physics_model
831.8,100.0,oil,325.8,4.0,45.7,1350.4,1265.0,14.9,37.3,physics_model
859.2,100.0,oil,338.8,1.0,45.2,1481.4,1233.2,13.7,32.2,physics_model
861.3,25.0,oil,506.0,4.0,26.1,910.8,669.4,23.2,52.8,physics_model
851.1,13.0,oil,205.9,4.0,51.2,1758.1,1561.2,11.2,25.5,physics_model
871.4,25.0,oil,507.6,4.0,27.1,909.2,673.7,24.8,51.4,physics_model
851.4,75.0,oil,578.2,2.0,22.1,806.7,578.2,26.7,50.2,physics_model
828.2,75.0,water,413.0,2.0,37.3,1167.6,916.9,17.7,42.5,physics_model
840.3,75.0,oil,308.8,4.0,46.4,1428.0,1306.6,14.2,37.6,physics_model
849.6,75.0,oil,262.8,0.5,51.0,1711.9,1546.3,11.0,30.6,physics_model
869.6,50.0,oil,638.9,2.0,18.2,748.5,502.0,27.9,58.5,physics_model
